Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6707035,-,b'Salta',b'Argentina',-24.72,-65.41,0,1230,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DHI,GHI,DNI,Clearsky GHI
2022,1,1,0,0,26.200000000000003,0,0,0,0
2022,1,1,1,0,25.6,0,0,0,0
2022,1,1,2,0,25.3,0,0,0,0
2022,1,1,3,0,24.8,0,0,0,0
2022,1,1,4,0,24.1,0,0,0,0
2022,1,1,5,0,23.8,0,0,0,0
2022,1,1,6,0,23.200000000000003,0,0,0,0
2022,1,1,7,0,22.6,0,0,0,0
2022,1,1,8,0,22.3,0,0,0,0
2022,1,1,9,0,22.400000000000002,0,0,0,0
2022,1,1,10,0,25.3,28,42,194,42
2022,1,1,11,0,29.3,75,249,599,249
2022,1,1,12,0,32.1,99,493,789,493
2022,1,1,13,0,34.4,112,724,892,724
2022,1,1,14,0,36.2,120,915,950,915
2022,1,1,15,0,37.4,109,1055,1004,1055
2022,1,1,16,0,38.2,112,1116,1009,1116
2022,1,1,17,0,38.300000000000004,115,1102,997,1102
2022,1,1,18,0,38,114,1020,976,1020
2022,1,1,19,0,37.1,375,652,340,870
2022,1,1,20,0,35.7,190,663,719,673
2022,1,1,21,0,33.9,95,443,745,443
2022,1,1,22,0,31.5,70,205,526,205
2022,1,1,23,0,28.3,16,16,0,20
2022,1,2,0,0,27,0,0,0,0
2022,1,2,1,0,26.200000000000003,0,0,0,0
2022,1,2,2,0,25.700000000000003,0,0,0,0
2022,1,2,3,0,25.3,0,0,0,0
2022,1,2,4,0,24.700000000000003,0,0,0,0
2022,1,2,5,0,24,0,0,0,0
2022,1,2,6,0,23.400000000000002,0,0,0,0
2022,1,2,7,0,22.8,0,0,0,0
2022,1,2,8,0,22.400000000000002,0,0,0,0
2022,1,2,9,0,21.900000000000002,0,0,0,0
2022,1,2,10,0,24.200000000000003,25,45,286,45
2022,1,2,11,0,28,61,260,692,260
2022,1,2,12,0,30.8,79,507,860,507
2022,1,2,13,0,32.9,90,738,946,738
2022,1,2,14,0,34.5,98,926,991,926
2022,1,2,15,0,35.7,110,1055,1003,1055
2022,1,2,16,0,36.4,114,1119,1011,1119
2022,1,2,17,0,36.6,116,1106,1000,1106
2022,1,2,18,0,36.300000000000004,127,1019,959,1019
2022,1,2,19,0,35.4,486,635,182,872
2022,1,2,20,0,34.1,118,673,841,673
2022,1,2,21,0,32.4,277,317,85,441
2022,1,2,22,0,30.1,82,203,469,203
2022,1,2,23,0,27.400000000000002,17,19,53,19
2022,1,3,0,0,26.6,0,0,0,0
2022,1,3,1,0,26,0,0,0,0
2022,1,3,2,0,25.400000000000002,0,0,0,0
2022,1,3,3,0,25.1,0,0,0,0
2022,1,3,4,0,25,0,0,0,0
2022,1,3,5,0,24.5,0,0,0,0
2022,1,3,6,0,23.900000000000002,0,0,0,0
2022,1,3,7,0,23.5,0,0,0,0
2022,1,3,8,0,23.1,0,0,0,0
2022,1,3,9,0,22.700000000000003,0,0,0,0
2022,1,3,10,0,23.8,25,27,35,27
2022,1,3,11,0,25.900000000000002,129,213,295,213
2022,1,3,12,0,28,186,442,515,442
2022,1,3,13,0,29.6,215,664,658,664
2022,1,3,14,0,31.1,227,853,749,853
2022,1,3,15,0,32.4,176,1006,883,1006
2022,1,3,16,0,32.9,186,1071,890,1071
2022,1,3,17,0,33.1,333,975,648,1064
2022,1,3,18,0,32.800000000000004,146,932,845,990
2022,1,3,19,0,32.300000000000004,166,849,835,849
2022,1,3,20,0,31.5,204,633,649,658
2022,1,3,21,0,30,228,352,264,430
2022,1,3,22,0,27.700000000000003,138,188,192,199
2022,1,3,23,0,25.6,17,17,0,19
2022,1,4,0,0,24.900000000000002,0,0,0,0
2022,1,4,1,0,24.3,0,0,0,0
2022,1,4,2,0,23.8,0,0,0,0
2022,1,4,3,0,23.3,0,0,0,0
2022,1,4,4,0,23.1,0,0,0,0
2022,1,4,5,0,22.6,0,0,0,0
2022,1,4,6,0,22.1,0,0,0,0
2022,1,4,7,0,21.900000000000002,0,0,0,0
2022,1,4,8,0,21.8,0,0,0,0
2022,1,4,9,0,21.700000000000003,0,0,0,0
2022,1,4,10,0,23.6,25,37,166,37
2022,1,4,11,0,26.1,77,236,560,236
2022,1,4,12,0,28.200000000000003,105,473,745,473
2022,1,4,13,0,30.3,120,699,850,699
2022,1,4,14,0,31.6,127,887,912,887
2022,1,4,15,0,32.4,132,1020,944,1020
2022,1,4,16,0,32.6,435,457,22,1086
2022,1,4,17,0,32.300000000000004,294,962,675,1078
2022,1,4,18,0,31.8,431,776,371,1004
2022,1,4,19,0,30.6,394,462,82,860
2022,1,4,20,0,29.1,356,402,69,664
2022,1,4,21,0,27.6,100,100,0,435
2022,1,4,22,0,25.6,47,47,0,204
2022,1,4,23,0,24.200000000000003,12,12,0,21
2022,1,5,0,0,23.700000000000003,0,0,0,0
2022,1,5,1,0,23.1,0,0,0,0
2022,1,5,2,0,22.8,0,0,0,0
2022,1,5,3,0,22.400000000000002,0,0,0,0
2022,1,5,4,0,22,0,0,0,0
2022,1,5,5,0,21.700000000000003,0,0,0,0
2022,1,5,6,0,21,0,0,0,0
2022,1,5,7,0,20.400000000000002,0,0,0,0
2022,1,5,8,0,19.900000000000002,0,0,0,0
2022,1,5,9,0,19.6,0,0,0,0
2022,1,5,10,0,19.900000000000002,22,22,0,32
2022,1,5,11,0,21,157,164,25,227
2022,1,5,12,0,22.6,250,263,26,466
2022,1,5,13,0,24.6,408,487,115,693
2022,1,5,14,0,26.200000000000003,497,691,233,887
2022,1,5,15,0,27.400000000000002,145,1024,935,1024
2022,1,5,16,0,28.3,167,1040,880,1091
2022,1,5,17,0,28.6,391,392,1,1086
2022,1,5,18,0,28.5,88,88,0,1000
2022,1,5,19,0,27.900000000000002,488,683,237,859
2022,1,5,20,0,26.900000000000002,73,73,0,665
2022,1,5,21,0,25.5,19,19,0,438
2022,1,5,22,0,23.6,8,8,0,203
2022,1,5,23,0,21.8,8,8,0,21
2022,1,6,0,0,21.200000000000003,0,0,0,0
2022,1,6,1,0,20.700000000000003,0,0,0,0
2022,1,6,2,0,20.400000000000002,0,0,0,0
2022,1,6,3,0,20.1,0,0,0,0
2022,1,6,4,0,19.8,0,0,0,0
2022,1,6,5,0,19.6,0,0,0,0
2022,1,6,6,0,19.5,0,0,0,0
2022,1,6,7,0,19.200000000000003,0,0,0,0
2022,1,6,8,0,18.8,0,0,0,0
2022,1,6,9,0,18.5,0,0,0,0
2022,1,6,10,0,19.400000000000002,20,20,0,32
2022,1,6,11,0,21,109,110,2,227
2022,1,6,12,0,22.900000000000002,226,232,12,461
2022,1,6,13,0,25.200000000000003,352,378,38,685
2022,1,6,14,0,27,200,200,0,873
2022,1,6,15,0,28.200000000000003,469,483,15,1010
2022,1,6,16,0,28.700000000000003,330,331,1,1076
2022,1,6,17,0,29,291,292,0,1070
2022,1,6,18,0,28.700000000000003,184,184,0,987
2022,1,6,19,0,28,486,587,124,845
2022,1,6,20,0,26.900000000000002,392,447,83,652
2022,1,6,21,0,25.700000000000003,75,75,0,425
2022,1,6,22,0,24.3,22,22,0,195
2022,1,6,23,0,22.700000000000003,10,10,0,17
2022,1,7,0,0,22.200000000000003,0,0,0,0
2022,1,7,1,0,21.8,0,0,0,0
2022,1,7,2,0,21.5,0,0,0,0
2022,1,7,3,0,21.1,0,0,0,0
2022,1,7,4,0,20.8,0,0,0,0
2022,1,7,5,0,20.400000000000002,0,0,0,0
2022,1,7,6,0,20.1,0,0,0,0
2022,1,7,7,0,19.8,0,0,0,0
2022,1,7,8,0,19.400000000000002,0,0,0,0
2022,1,7,9,0,19.1,0,0,0,0
2022,1,7,10,0,20.6,24,27,50,27
2022,1,7,11,0,23.200000000000003,116,117,2,215
2022,1,7,12,0,25.400000000000002,130,130,0,448
2022,1,7,13,0,27.200000000000003,177,672,732,672
2022,1,7,14,0,28.6,193,860,804,860
2022,1,7,15,0,29.6,163,1010,903,1010
2022,1,7,16,0,30.200000000000003,564,734,171,1075
2022,1,7,17,0,30.3,476,976,504,1072
2022,1,7,18,0,29.8,456,467,12,994
2022,1,7,19,0,29.200000000000003,83,83,0,853
2022,1,7,20,0,28.200000000000003,308,314,10,659
2022,1,7,21,0,27,237,247,20,432
2022,1,7,22,0,25.1,113,114,2,200
2022,1,7,23,0,23.5,12,12,0,19
2022,1,8,0,0,23,0,0,0,0
2022,1,8,1,0,22.5,0,0,0,0
2022,1,8,2,0,22.1,0,0,0,0
2022,1,8,3,0,21.700000000000003,0,0,0,0
2022,1,8,4,0,21.200000000000003,0,0,0,0
2022,1,8,5,0,20.900000000000002,0,0,0,0
