Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6707035,-,b'Salta',b'Argentina',-24.72,-65.41,0,1230,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Temperature,DNI,GHI,DHI,Clearsky GHI
2019,1,1,0,0,23.400000000000002,0,0,0,0
2019,1,1,0,30,23.200000000000003,0,0,0,0
2019,1,1,1,0,23,0,0,0,0
2019,1,1,1,30,22.700000000000003,0,0,0,0
2019,1,1,2,0,22.5,0,0,0,0
2019,1,1,2,30,22.3,0,0,0,0
2019,1,1,3,0,22.1,0,0,0,0
2019,1,1,3,30,22,0,0,0,0
2019,1,1,4,0,21.900000000000002,0,0,0,0
2019,1,1,4,30,21.8,0,0,0,0
2019,1,1,5,0,21.700000000000003,0,0,0,0
2019,1,1,5,30,21.5,0,0,0,0
2019,1,1,6,0,21.400000000000002,0,0,0,0
2019,1,1,6,30,21.400000000000002,0,0,0,0
2019,1,1,7,0,21.3,0,0,0,0
2019,1,1,7,30,21.200000000000003,0,0,0,0
2019,1,1,8,0,21.1,0,0,0,0
2019,1,1,8,30,21,0,0,0,0
2019,1,1,9,0,21,0,0,0,0
2019,1,1,9,30,21.900000000000002,0,0,0,0
2019,1,1,10,0,22.8,127,40,31,40
2019,1,1,10,30,24.200000000000003,349,130,66,130
2019,1,1,11,0,25.700000000000003,521,240,89,240
2019,1,1,11,30,26.8,631,357,107,357
2019,1,1,12,0,27.900000000000002,716,476,118,476
2019,1,1,12,30,28.6,774,591,129,591
2019,1,1,13,0,29.400000000000002,817,698,138,698
2019,1,1,13,30,30,850,797,145,797
2019,1,1,14,0,30.5,46,424,386,883
2019,1,1,14,30,31,67,510,450,956
2019,1,1,15,0,31.400000000000002,18,309,292,1021
2019,1,1,15,30,31.6,17,283,266,1061
2019,1,1,16,0,31.700000000000003,19,325,307,1084
2019,1,1,16,30,31.700000000000003,21,372,351,1089
2019,1,1,17,0,31.700000000000003,28,437,410,1077
2019,1,1,17,30,31.6,26,413,388,1046
2019,1,1,18,0,31.5,17,282,267,1000
2019,1,1,18,30,31.1,20,332,314,937
2019,1,1,19,0,30.8,21,320,303,860
2019,1,1,19,30,30.200000000000003,111,460,378,770
2019,1,1,20,0,29.6,32,294,272,668
2019,1,1,20,30,28.8,261,413,265,558
2019,1,1,21,0,28.1,113,266,213,442
2019,1,1,21,30,27.3,111,197,157,324
2019,1,1,22,0,26.5,158,143,103,208
2019,1,1,22,30,25.8,106,71,55,101
2019,1,1,23,0,25.1,0,15,15,22
2019,1,1,23,30,25.1,0,0,0,0
2019,1,2,0,0,24.700000000000003,0,0,0,0
2019,1,2,0,30,24.5,0,0,0,0
2019,1,2,1,0,24.3,0,0,0,0
2019,1,2,1,30,24.200000000000003,0,0,0,0
2019,1,2,2,0,24,0,0,0,0
2019,1,2,2,30,23.8,0,0,0,0
2019,1,2,3,0,23.6,0,0,0,0
2019,1,2,3,30,23.5,0,0,0,0
2019,1,2,4,0,23.3,0,0,0,0
2019,1,2,4,30,23.200000000000003,0,0,0,0
2019,1,2,5,0,23.1,0,0,0,0
2019,1,2,5,30,23,0,0,0,0
2019,1,2,6,0,22.900000000000002,0,0,0,0
2019,1,2,6,30,22.900000000000002,0,0,0,0
2019,1,2,7,0,23,0,0,0,0
2019,1,2,7,30,23,0,0,0,0
2019,1,2,8,0,23,0,0,0,0
2019,1,2,8,30,22.900000000000002,0,0,0,0
2019,1,2,9,0,22.900000000000002,0,0,0,0
2019,1,2,9,30,23.5,0,0,0,0
2019,1,2,10,0,24,0,20,20,43
2019,1,2,10,30,25.200000000000003,112,89,69,136
2019,1,2,11,0,26.400000000000002,343,203,104,248
2019,1,2,11,30,27.6,473,321,134,366
2019,1,2,12,0,28.700000000000003,813,485,80,485
2019,1,2,12,30,29.6,861,600,87,600
2019,1,2,13,0,30.5,897,708,93,708
2019,1,2,13,30,31.1,924,806,98,806
2019,1,2,14,0,31.6,941,891,105,891
2019,1,2,14,30,31.900000000000002,955,963,108,963
2019,1,2,15,0,32.2,969,1020,107,1020
2019,1,2,15,30,32.300000000000004,977,1061,109,1061
2019,1,2,16,0,32.300000000000004,972,1082,115,1082
2019,1,2,16,30,32.1,102,648,546,1087
2019,1,2,17,0,31.8,122,670,549,1075
2019,1,2,17,30,31.5,958,1045,119,1045
2019,1,2,18,0,31.200000000000003,427,851,455,991
2019,1,2,18,30,31,204,658,478,928
2019,1,2,19,0,30.700000000000003,114,520,427,851
2019,1,2,19,30,30.3,259,571,378,761
