Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6639939,-,b'Salta',b'Argentina',-24.4,-65.77,-3,3371,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,GHI,DNI,Clearsky GHI
2019,1,1,0,0,0,10.600000000000001,0,0,0
2019,1,1,1,0,0,10.3,0,0,0
2019,1,1,2,0,0,9.9,0,0,0
2019,1,1,3,0,0,9.600000000000001,0,0,0
2019,1,1,4,0,0,9.4,0,0,0
2019,1,1,5,0,0,9.200000000000001,0,0,0
2019,1,1,6,0,0,9,0,0,0
2019,1,1,7,0,25,10.9,45,306,45
2019,1,1,8,0,57,14.3,270,749,270
2019,1,1,9,0,76,16.8,523,905,523
2019,1,1,10,0,89,18.3,759,982,759
2019,1,1,11,0,99,19.400000000000002,951,1022,951
2019,1,1,12,0,96,20.200000000000003,1088,1055,1088
2019,1,1,13,0,736,20.6,1005,270,1154
2019,1,1,14,0,650,20.400000000000002,934,286,1144
2019,1,1,15,0,634,19.700000000000003,936,324,1064
2019,1,1,16,0,462,18.8,670,255,920
2019,1,1,17,0,355,17.3,497,215,720
2019,1,1,18,0,164,15.4,170,14,484
2019,1,1,19,0,80,13.8,80,0,236
2019,1,1,20,0,17,12.8,17,0,27
2019,1,1,21,0,0,12.4,0,0,0
2019,1,1,22,0,0,12.100000000000001,0,0,0
2019,1,1,23,0,0,11.9,0,0,0
2019,1,2,0,0,0,11.600000000000001,0,0,0
2019,1,2,1,0,0,11.4,0,0,0
2019,1,2,2,0,0,11.3,0,0,0
2019,1,2,3,0,0,11.100000000000001,0,0,0
2019,1,2,4,0,0,11.3,0,0,0
2019,1,2,5,0,0,11.200000000000001,0,0,0
2019,1,2,6,0,0,10.9,0,0,0
2019,1,2,7,0,23,12,31,123,44
2019,1,2,8,0,119,15,180,214,268
2019,1,2,9,0,63,17.400000000000002,519,927,519
2019,1,2,10,0,74,18.8,753,997,753
2019,1,2,11,0,84,19.6,943,1032,943
2019,1,2,12,0,87,20,1078,1054,1078
2019,1,2,13,0,345,19.8,368,23,1140
2019,1,2,14,0,331,19.200000000000003,353,23,1136
2019,1,2,15,0,282,18.3,303,22,1053
2019,1,2,16,0,460,17.7,558,119,911
2019,1,2,17,0,289,17,312,35,715
2019,1,2,18,0,212,15.9,239,57,481
2019,1,2,19,0,111,14.600000000000001,138,105,233
2019,1,2,20,0,13,13.200000000000001,13,0,27
2019,1,2,21,0,0,12.8,0,0,0
2019,1,2,22,0,0,12.8,0,0,0
2019,1,2,23,0,0,12.9,0,0,0
2019,1,3,0,0,0,12.600000000000001,0,0,0
2019,1,3,1,0,0,12.100000000000001,0,0,0
2019,1,3,2,0,0,11.4,0,0,0
